id,date,food_prepared,food_sold,waste
931,09-08-2024,51,41,10
932,01-11-2024,348,228,120
933,18-08-2024,264,182,82
934,19-07-2024,115,78,37
935,10-03-2024,383,346,37
936,05-02-2024,160,120,40
937,04-04-2024,168,59,109
938,09-04-2024,227,183,44
939,08-08-2024,301,176,125
940,07-05-2024,144,67,77
941,20-02-2024,95,66,29
942,09-12-2024,314,214,100
943,17-10-2024,413,146,267
944,25-05-2024,144,81,63
945,31-05-2024,115,31,84
946,11-06-2024,307,89,218
947,13-11-2024,158,32,126
948,16-11-2024,188,113,75
949,29-03-2024,314,135,179
950,10-02-2024,230,183,47
951,29-11-2024,372,172,200
952,03-03-2024,105,57,48
953,17-03-2024,354,195,159
954,02-05-2024,148,140,8
955,08-02-2024,384,378,6
956,10-06-2024,131,130,1
957,26-02-2024,79,47,32
958,17-02-2024,131,73,58
959,13-01-2024,82,55,27
960,23-03-2024,477,348,129
961,12-03-2024,189,163,26
962,31-05-2024,255,93,162
963,10-08-2024,88,71,17
964,20-11-2024,416,398,18
965,08-10-2024,301,274,27
966,18-07-2024,148,43,105
967,30-07-2024,85,83,2
968,21-12-2024,325,90,235
969,31-03-2024,463,417,46
970,03-01-2024,467,415,52
971,21-09-2024,417,210,207
972,20-03-2024,150,117,33
973,06-04-2024,183,170,13
974,13-11-2024,76,47,29
975,10-07-2024,385,180,205
976,11-01-2024,141,63,78
977,17-07-2024,55,32,23
978,18-10-2024,85,38,47
979,10-07-2024,341,239,102
980,20-03-2024,144,36,108
981,04-03-2024,101,54,47
982,19-06-2024,495,148,347
983,14-01-2024,351,176,175
984,04-08-2024,92,73,19
985,12-10-2024,156,64,92
986,07-10-2024,175,118,57
987,15-12-2024,171,153,18
988,03-06-2024,88,38,50
989,27-02-2024,239,96,143
990,31-05-2024,468,67,401
991,03-01-2024,207,74,133
992,17-08-2024,346,111,235
993,11-06-2024,488,384,104
994,11-05-2024,308,50,258
995,25-07-2024,152,104,48
996,01-08-2024,304,149,155
997,21-11-2024,90,38,52
998,31-10-2024,494,187,307
999,01-11-2024,111,80,31
1000,30-11-2024,252,206,46
1001,04-01-2024,391,306,85
1002,17-03-2024,381,112,269
1003,27-03-2024,461,140,321
1004,24-08-2024,99,50,49
1005,18-09-2024,189,180,9
1006,11-05-2024,64,46,18
1007,23-05-2024,127,96,31
1008,20-10-2024,224,155,69
1009,03-11-2024,425,243,182
1010,18-03-2024,413,64,349
1011,19-12-2024,153,120,33
1012,03-03-2024,443,234,209
1013,02-03-2024,267,77,190
1014,04-05-2024,458,38,420
1015,10-01-2024,159,140,19
1016,21-07-2024,89,79,10
1017,24-05-2024,232,111,121
1018,13-11-2024,488,455,33
1019,13-09-2024,79,37,42
1020,15-11-2024,480,242,238
1021,22-07-2024,496,126,370
1022,17-12-2024,193,181,12
1023,06-06-2024,191,56,135
1024,14-06-2024,333,290,43
1025,10-08-2024,52,33,19
1026,14-04-2024,175,90,85
1027,10-02-2024,244,96,148
1028,23-02-2024,101,32,69
1029,14-05-2024,59,39,20
1030,21-05-2024,375,311,64
1031,24-12-2024,58,38,20
1032,16-01-2024,320,138,182
1033,17-05-2024,52,35,17
1034,01-08-2024,111,40,71
1035,12-08-2024,158,76,82
1036,08-05-2024,389,34,355
1037,18-08-2024,226,213,13
1038,04-12-2024,457,287,170
1039,20-01-2024,67,45,22
1040,06-11-2024,416,247,169
1041,17-04-2024,143,121,22
1042,02-09-2024,437,355,82
1043,10-07-2024,165,34,131
1044,28-05-2024,369,133,236
1045,26-10-2024,124,67,57
1046,15-11-2024,267,47,220
1047,14-12-2024,111,34,77
1048,23-02-2024,337,326,11
1049,13-05-2024,286,128,158
1050,31-01-2024,249,127,122
1051,09-11-2024,356,211,145
1052,17-12-2024,344,309,35
1053,22-10-2024,404,49,355
1054,10-05-2024,349,113,236
1055,07-01-2024,458,453,5
1056,08-01-2024,304,263,41
1057,14-11-2024,410,253,157
1058,12-06-2024,116,87,29
1059,27-07-2024,483,243,240
1060,07-07-2024,100,57,43
1061,15-01-2024,319,55,264
1062,04-02-2024,469,358,111
1063,07-11-2024,139,113,26
1064,26-07-2024,118,75,43
1065,23-04-2024,328,246,82
1066,18-03-2024,302,175,127
1067,03-04-2024,93,46,47
1068,12-07-2024,58,48,10
1069,05-11-2024,482,418,64
1070,10-12-2024,230,152,78
1071,28-03-2024,278,227,51
1072,21-04-2024,169,119,50
1073,10-02-2024,425,97,328
1074,20-10-2024,56,31,25
1075,21-10-2024,111,76,35
1076,20-05-2024,484,435,49
1077,15-11-2024,382,154,228
1078,14-03-2024,381,294,87
1079,02-07-2024,52,36,16
1080,12-12-2024,178,65,113
1081,16-09-2024,382,188,194
1082,18-07-2024,82,50,32
1083,07-07-2024,345,265,80
1084,12-04-2024,100,46,54
1085,28-04-2024,188,42,146
1086,20-02-2024,483,184,299
1087,14-12-2024,192,57,135
1088,20-05-2024,84,35,49
1089,20-09-2024,215,61,154
1090,19-09-2024,66,55,11
1091,17-03-2024,398,375,23
1092,24-10-2024,464,144,320
1093,26-01-2024,397,183,214
1094,09-09-2024,442,288,154
1095,01-03-2024,347,60,287
1096,27-04-2024,90,69,21
1097,08-10-2024,162,162,0
1098,22-02-2024,222,34,188
1099,25-05-2024,433,231,202
1100,23-07-2024,258,179,79
1101,13-09-2024,387,118,269
1102,21-01-2024,140,98,42
1103,10-06-2024,241,170,71
1104,30-01-2024,289,182,107
1105,09-11-2024,351,295,56
1106,10-11-2024,438,146,292
1107,14-02-2024,300,197,103
1108,15-12-2024,301,209,92
1109,14-06-2024,162,159,3
1110,30-08-2024,218,67,151
1111,04-02-2024,421,282,139
1112,22-04-2024,193,158,35
1113,28-07-2024,444,293,151
1114,23-10-2024,146,137,9
1115,25-06-2024,69,42,27
1116,05-05-2024,288,50,238
1117,23-12-2024,69,42,27
1118,11-09-2024,395,117,278
1119,07-09-2024,243,53,190
1120,08-09-2024,490,140,350
1121,13-03-2024,296,96,200
1122,05-12-2024,267,239,28
1123,02-07-2024,489,112,377
1124,13-01-2024,195,147,48
1125,20-10-2024,146,117,29
1126,06-06-2024,65,37,28
1127,29-12-2024,493,371,122
1128,21-02-2024,102,31,71
1129,30-10-2024,208,32,176
1130,20-10-2024,321,35,286
1131,15-05-2024,326,114,212
1132,07-01-2024,144,71,73
1133,09-10-2024,495,410,85
1134,08-01-2024,54,34,20
1135,07-11-2024,284,203,81
1136,19-09-2024,134,86,48
1137,17-04-2024,276,73,203
1138,08-02-2024,290,103,187
1139,23-06-2024,141,52,89
1140,07-05-2024,423,206,217
1141,15-10-2024,108,97,11
1142,22-08-2024,205,200,5
1143,14-04-2024,193,116,77
1144,16-04-2024,305,93,212
1145,27-08-2024,180,135,45
1146,16-03-2024,117,90,27
1147,09-02-2024,437,246,191
1148,16-03-2024,255,231,24
1149,08-11-2024,343,60,283
1150,03-12-2024,465,46,419
1151,18-10-2024,215,187,28
1152,21-09-2024,260,73,187
1153,15-03-2024,382,244,138
1154,24-07-2024,376,324,52
1155,01-10-2024,277,239,38
1156,15-03-2024,221,150,71
1157,23-11-2024,133,133,0
1158,05-11-2024,406,273,133
1159,28-12-2024,101,68,33
1160,27-08-2024,429,208,221
1161,14-01-2024,256,204,52
1162,09-11-2024,402,63,339
1163,14-03-2024,196,130,66
1164,29-01-2024,340,204,136
1165,19-01-2024,259,50,209
1166,10-01-2024,164,64,100
1167,02-05-2024,190,57,133
1168,25-11-2024,426,337,89
1169,18-07-2024,250,100,150
1170,09-12-2024,492,364,128
1171,13-04-2024,211,165,46
1172,26-10-2024,163,59,104
1173,24-04-2024,258,91,167
1174,21-01-2024,421,317,104
1175,09-01-2024,171,32,139
1176,05-12-2024,116,45,71
1177,21-12-2024,465,340,125
1178,26-02-2024,147,141,6
1179,10-07-2024,338,49,289
1180,22-02-2024,381,322,59
1181,21-12-2024,437,242,195
1182,10-10-2024,264,119,145
1183,02-04-2024,227,198,29
1184,27-07-2024,480,270,210
1185,04-02-2024,187,137,50
1186,24-10-2024,247,61,186
1187,27-08-2024,380,144,236
1188,13-08-2024,299,213,86
1189,15-10-2024,67,52,15
1190,15-09-2024,497,120,377
1191,27-04-2024,184,55,129
1192,06-03-2024,473,124,349
1193,19-12-2024,435,395,40
1194,07-07-2024,429,71,358
1195,01-09-2024,53,37,16
1196,05-06-2024,296,58,238
1197,03-03-2024,66,37,29
1198,10-11-2024,296,240,56
1199,04-03-2024,386,350,36
1200,22-08-2024,63,61,2
